;DT;RV1;RV5;BPV1;BPV5;medRV1;medRV5;RK1;RK5;RQ1;RQ5;medRQ1;medRQ5;CLOSE
26;07/02/2014;3.41E-05;2.88E-05;2.75E-05;2.77E-05;2.77E-05;2.49E-05;3.18E-05;2.74E-05;0.079566015;0.057451553;0.055246936;0.055246936;179.69
27;10/02/2014;2.09E-05;1.16E-05;1.92E-05;1.16E-05;1.97E-05;1.17E-05;1.79E-05;7.33E-06;0.057863674;0.019190775;0.048072986;0.048072986;180
28;11/02/2014;2.08E-05;1.86E-05;2.08E-05;1.73E-05;2.05E-05;1.59E-05;1.82E-05;2.44E-05;0.046153458;0.036708193;0.040935849;0.040935849;181.95
29;12/02/2014;2.29E-05;2.40E-05;2.01E-05;2.57E-05;1.94E-05;2.33E-05;2.43E-05;1.72E-05;0.044008034;0.039081455;0.036280362;0.036280362;182.08
30;13/02/2014;2.26E-05;2.06E-05;2.15E-05;1.42E-05;2.02E-05;1.33E-05;2.13E-05;2.02E-05;0.052558676;0.049221985;0.041292193;0.041292193;183.05
31;14/02/2014;1.84E-05;1.67E-05;1.67E-05;1.98E-05;1.65E-05;1.85E-05;1.86E-05;1.30E-05;0.050011191;0.036771874;0.038938673;0.038938673;184.01
32;18/02/2014;1.60E-05;1.55E-05;1.54E-05;1.47E-05;1.44E-05;1.50E-05;1.61E-05;1.08E-05;0.033714387;0.032770066;0.029853348;0.029853348;184.2401
33;19/02/2014;4.23E-05;3.65E-05;4.01E-05;2.84E-05;4.32E-05;2.77E-05;4.01E-05;3.72E-05;0.097606703;0.078155924;0.121414116;0.121414116;183.02
34;20/02/2014;3.47E-05;3.17E-05;3.35E-05;2.56E-05;3.34E-05;2.58E-05;2.80E-05;1.92E-05;0.088505942;0.082299175;0.086292293;0.086292293;184.16
35;21/02/2014;2.34E-05;1.95E-05;2.26E-05;1.88E-05;2.39E-05;1.82E-05;1.65E-05;2.09E-05;0.049433083;0.032703554;0.049179534;0.049179534;183.91
36;24/02/2014;2.17E-05;2.62E-05;1.77E-05;1.84E-05;1.58E-05;2.02E-05;2.31E-05;3.37E-05;0.065664098;0.060759452;0.037044491;0.037044491;184.98
37;25/02/2014;3.56E-05;3.60E-05;3.42E-05;2.68E-05;3.26E-05;3.30E-05;3.47E-05;2.97E-05;0.071043142;0.06540333;0.057410782;0.057410782;184.8
38;26/02/2014;3.37E-05;3.01E-05;3.19E-05;2.29E-05;3.03E-05;2.29E-05;3.55E-05;2.91E-05;0.070247632;0.052581071;0.052877771;0.052877771;184.83
39;27/02/2014;2.92E-05;3.27E-05;2.85E-05;2.66E-05;2.93E-05;2.83E-05;3.17E-05;2.51E-05;0.059992597;0.065064272;0.063516274;0.063516274;185.84
40;28/02/2014;4.10E-05;4.31E-05;4.00E-05;4.14E-05;3.67E-05;4.24E-05;4.22E-05;4.16E-05;0.104646701;0.094434396;0.091705314;0.091705314;186.33
41;03/03/2014;7.28E-05;4.92E-05;6.67E-05;4.67E-05;6.23E-05;4.99E-05;4.98E-05;4.30E-05;0.211993962;0.081336647;0.12804383;0.12804383;184.93
42;04/03/2014;2.47E-05;1.84E-05;2.28E-05;1.84E-05;2.30E-05;1.91E-05;1.99E-05;1.07E-05;0.054470998;0.031514458;0.046509721;0.046509721;187.69
43;05/03/2014;2.25E-05;1.72E-05;1.85E-05;1.56E-05;1.72E-05;1.49E-05;1.76E-05;8.50E-06;0.057621693;0.031514428;0.038094554;0.038094554;187.73
44;06/03/2014;1.09E-05;1.10E-05;9.85E-06;1.07E-05;9.33E-06;1.10E-05;9.48E-06;1.21E-05;0.020971966;0.019119061;0.016774046;0.016774046;188.18
45;07/03/2014;3.62E-05;3.90E-05;3.24E-05;3.26E-05;3.42E-05;2.80E-05;4.11E-05;2.73E-05;0.075948456;0.082426863;0.069411738;0.069411738;188.21
46;10/03/2014;2.63E-05;2.02E-05;2.29E-05;1.55E-05;2.30E-05;1.65E-05;2.45E-05;2.30E-05;0.061085013;0.036667434;0.051284694;0.051284694;188.18
47;11/03/2014;2.83E-05;2.63E-05;2.48E-05;2.59E-05;2.52E-05;2.70E-05;2.59E-05;3.13E-05;0.054080343;0.040860816;0.045591787;0.045591787;187.2
48;12/03/2014;3.24E-05;3.04E-05;3.21E-05;3.44E-05;3.19E-05;3.46E-05;3.53E-05;1.82E-05;0.062161478;0.048523203;0.060111875;0.060111875;187.2699
49;13/03/2014;5.01E-05;5.37E-05;5.11E-05;5.24E-05;4.90E-05;5.25E-05;4.30E-05;3.31E-05;0.10380058;0.082044637;0.084715988;0.084715988;185.19
50;14/03/2014;5.29E-05;4.91E-05;4.90E-05;4.96E-05;4.67E-05;4.84E-05;5.98E-05;5.68E-05;0.108463919;0.091727123;0.086362717;0.086362717;184.61
51;17/03/2014;2.62E-05;3.01E-05;2.36E-05;2.48E-05;2.19E-05;1.96E-05;3.07E-05;4.04E-05;0.056400878;0.07049672;0.04433637;0.04433637;186.34
52;18/03/2014;2.11E-05;2.55E-05;2.02E-05;2.42E-05;2.03E-05;2.11E-05;1.93E-05;1.99E-05;0.045199031;0.058263204;0.041686147;0.041686147;187.69
53;19/03/2014;4.88E-05;5.17E-05;5.22E-05;3.14E-05;5.03E-05;2.52E-05;6.59E-05;6.93E-05;0.140771518;0.24288306;0.147090685;0.147090685;186.69
54;20/03/2014;2.99E-05;2.96E-05;2.54E-05;2.22E-05;2.52E-05;1.59E-05;2.49E-05;3.18E-05;0.084393707;0.081868406;0.052273474;0.052273474;187.76
55;21/03/2014;3.87E-05;4.21E-05;3.79E-05;4.05E-05;3.92E-05;4.35E-05;3.26E-05;1.85E-05;0.067037142;0.077429823;0.071215058;0.071215058;186.21
56;24/03/2014;5.23E-05;4.58E-05;4.91E-05;4.59E-05;5.09E-05;4.48E-05;4.24E-05;5.56E-05;0.089483011;0.074795638;0.087674927;0.087674927;185.41
57;25/03/2014;4.03E-05;3.07E-05;3.97E-05;2.73E-05;3.63E-05;2.78E-05;3.92E-05;2.76E-05;0.080060764;0.050640674;0.065259755;0.065259755;186.34
58;26/03/2014;5.08E-05;3.46E-05;5.09E-05;3.14E-05;5.38E-05;2.85E-05;3.73E-05;4.05E-05;0.086606622;0.060338713;0.09680186;0.09680186;184.9501
59;27/03/2014;5.96E-05;6.33E-05;5.84E-05;6.44E-05;5.91E-05;5.42E-05;6.17E-05;4.89E-05;0.098543706;0.115195488;0.111275058;0.111275058;184.62
60;28/03/2014;3.20E-05;3.45E-05;2.76E-05;2.16E-05;2.91E-05;2.22E-05;3.21E-05;3.64E-05;0.073447306;0.124631117;0.057178353;0.057178353;185.48
61;31/03/2014;2.32E-05;1.75E-05;2.24E-05;1.76E-05;2.32E-05;1.82E-05;1.60E-05;1.52E-05;0.04344695;0.028933417;0.051769565;0.051769565;187
62;01/04/2014;1.48E-05;1.35E-05;1.32E-05;1.13E-05;1.31E-05;1.07E-05;1.21E-05;1.08E-05;0.027847987;0.025947003;0.023100227;0.023100227;188.25
63;02/04/2014;1.89E-05;1.79E-05;1.88E-05;1.40E-05;1.84E-05;1.40E-05;1.09E-05;1.64E-05;0.042714214;0.036574715;0.040655239;0.040655239;188.88
64;03/04/2014;1.98E-05;1.64E-05;1.97E-05;1.42E-05;1.96E-05;1.23E-05;1.59E-05;1.42E-05;0.039703235;0.027960124;0.03183022;0.03183022;188.63
65;04/04/2014;6.64E-05;5.60E-05;6.41E-05;5.50E-05;5.92E-05;5.90E-05;4.74E-05;6.90E-05;0.109226343;0.091327832;0.094239814;0.094239814;186.39
66;07/04/2014;4.91E-05;5.62E-05;4.90E-05;5.43E-05;4.91E-05;5.11E-05;4.17E-05;5.64E-05;0.08072235;0.090029677;0.081550123;0.081550123;184.31
67;08/04/2014;4.72E-05;4.32E-05;4.73E-05;4.13E-05;4.61E-05;4.19E-05;4.93E-05;5.27E-05;0.083890924;0.077895488;0.089188383;0.089188383;185.11
68;09/04/2014;3.46E-05;2.60E-05;3.18E-05;2.47E-05;3.02E-05;2.41E-05;2.13E-05;2.78E-05;0.083993639;0.062975543;0.059621724;0.059621724;187.12
69;10/04/2014;6.22E-05;7.22E-05;5.66E-05;7.28E-05;5.57E-05;7.12E-05;5.86E-05;8.96E-05;0.115571591;0.112183953;0.091490884;0.091490884;183.15
70;11/04/2014;7.37E-05;7.38E-05;7.42E-05;7.64E-05;7.71E-05;7.25E-05;6.75E-05;7.47E-05;0.121167061;0.114424651;0.123619139;0.123619139;181.48
71;14/04/2014;4.67E-05;4.19E-05;5.04E-05;4.07E-05;5.16E-05;4.28E-05;3.53E-05;6.26E-05;0.080703688;0.069029791;0.099850749;0.099850749;182.95
72;15/04/2014;9.89E-05;8.42E-05;0.000101754;8.19E-05;0.000104889;7.36E-05;0.000106631;0.000101712;0.151661572;0.132482498;0.158471206;0.158471206;184.23
73;16/04/2014;4.17E-05;3.43E-05;4.29E-05;3.51E-05;4.53E-05;3.27E-05;3.29E-05;2.05E-05;0.071075377;0.05648633;0.083439173;0.083439173;186.13
74;17/04/2014;2.72E-05;2.31E-05;2.37E-05;2.50E-05;2.37E-05;2.51E-05;1.91E-05;1.68E-05;0.054868265;0.039606364;0.046722191;0.046722191;186.37
75;21/04/2014;2.05E-05;1.34E-05;1.94E-05;1.18E-05;1.93E-05;1.21E-05;1.27E-05;1.51E-05;0.04691437;0.025625811;0.045568959;0.045568959;187.05
76;22/04/2014;1.21E-05;1.10E-05;1.08E-05;1.10E-05;1.10E-05;1.17E-05;9.97E-06;1.25E-05;0.02467115;0.019013237;0.021445407;0.021445407;187.86
77;23/04/2014;1.70E-05;1.45E-05;1.42E-05;1.16E-05;1.40E-05;1.21E-05;1.55E-05;1.12E-05;0.037319196;0.030350658;0.027328206;0.027328206;187.465
78;24/04/2014;3.53E-05;3.47E-05;3.17E-05;4.37E-05;3.29E-05;4.48E-05;2.57E-05;4.21E-05;0.08014932;0.065438067;0.068238105;0.068238105;187.82
79;25/04/2014;3.17E-05;2.71E-05;2.96E-05;2.68E-05;2.69E-05;2.52E-05;2.60E-05;1.27E-05;0.06615114;0.042562011;0.043525038;0.043525038;186.31
80;28/04/2014;5.21E-05;6.35E-05;5.40E-05;6.70E-05;5.23E-05;6.15E-05;5.43E-05;8.01E-05;0.08031829;0.095659297;0.082852637;0.082852637;186.9
81;29/04/2014;2.63E-05;1.71E-05;2.56E-05;1.77E-05;2.56E-05;1.75E-05;2.38E-05;1.65E-05;0.051598588;0.031884611;0.050730282;0.050730282;187.73
82;30/04/2014;3.38E-05;2.65E-05;3.11E-05;3.08E-05;2.92E-05;2.92E-05;3.26E-05;2.10E-05;0.092275864;0.046483647;0.060710626;0.060710626;188.39
83;01/05/2014;2.66E-05;2.05E-05;2.47E-05;2.13E-05;2.74E-05;1.94E-05;2.65E-05;2.41E-05;0.049039963;0.033603757;0.059930516;0.059930516;188.32
84;02/05/2014;3.50E-05;3.35E-05;3.42E-05;3.19E-05;3.46E-05;3.12E-05;3.23E-05;3.47E-05;0.078376132;0.073102052;0.072984989;0.072984989;188.07
85;05/05/2014;2.20E-05;2.22E-05;2.10E-05;2.08E-05;2.17E-05;1.83E-05;1.80E-05;2.02E-05;0.046509194;0.050226592;0.051392453;0.051392453;188.44
86;06/05/2014;2.37E-05;2.35E-05;2.24E-05;2.35E-05;2.14E-05;2.76E-05;2.21E-05;1.94E-05;0.043143727;0.033694474;0.035953673;0.035953673;186.825
87;07/05/2014;4.65E-05;7.14E-05;4.25E-05;7.49E-05;4.33E-05;7.18E-05;5.82E-05;5.73E-05;0.08887646;0.152454301;0.08890354;0.08890354;187.9
88;08/05/2014;3.78E-05;3.00E-05;3.59E-05;2.82E-05;3.78E-05;2.86E-05;3.39E-05;4.25E-05;0.065493585;0.055779602;0.061341459;0.061341459;187.69
89;09/05/2014;3.82E-05;3.62E-05;3.89E-05;3.52E-05;3.81E-05;3.60E-05;2.87E-05;4.40E-05;0.076026134;0.073400394;0.07669578;0.07669578;188.02
90;12/05/2014;1.24E-05;9.32E-06;1.29E-05;8.50E-06;1.32E-05;8.32E-06;9.06E-06;9.72E-06;0.026640704;0.021856557;0.03197894;0.03197894;189.79
91;13/05/2014;1.65E-05;1.14E-05;1.79E-05;1.04E-05;1.76E-05;1.23E-05;1.30E-05;7.20E-06;0.029986914;0.019277875;0.034326123;0.034326123;189.95
92;14/05/2014;1.78E-05;1.60E-05;1.75E-05;1.39E-05;1.77E-05;1.35E-05;1.56E-05;1.35E-05;0.040057825;0.031825194;0.043152112;0.043152112;189.05
93;15/05/2014;4.36E-05;4.35E-05;4.28E-05;5.25E-05;4.19E-05;4.93E-05;4.24E-05;5.02E-05;0.07531248;0.069732621;0.071180863;0.071180863;187.39
94;16/05/2014;3.22E-05;2.49E-05;3.21E-05;2.12E-05;3.24E-05;2.09E-05;2.32E-05;2.55E-05;0.072674645;0.047603415;0.075826571;0.075826571;188.08
95;19/05/2014;1.62E-05;1.46E-05;1.51E-05;1.14E-05;1.50E-05;1.18E-05;1.55E-05;1.52E-05;0.034285276;0.029029105;0.031996833;0.031996833;188.74
96;20/05/2014;2.67E-05;2.85E-05;2.42E-05;2.29E-05;2.40E-05;2.43E-05;2.36E-05;2.59E-05;0.04737062;0.045543595;0.036976772;0.036976772;187.53
97;21/05/2014;2.04E-05;1.40E-05;1.89E-05;1.56E-05;1.79E-05;1.87E-05;1.67E-05;1.18E-05;0.050811621;0.023773817;0.03905468;0.03905468;189.12
98;22/05/2014;1.48E-05;9.35E-06;1.39E-05;7.80E-06;1.52E-05;7.45E-06;1.02E-05;1.12E-05;0.033514524;0.018451403;0.038569193;0.038569193;189.595
99;23/05/2014;6.97E-06;4.43E-06;6.63E-06;5.12E-06;7.22E-06;5.48E-06;3.16E-06;1.80E-06;0.013831428;0.007230639;0.014604953;0.014604953;190.37
100;27/05/2014;7.45E-06;7.61E-06;6.67E-06;8.06E-06;6.55E-06;8.17E-06;7.08E-06;6.53E-06;0.015422596;0.012989316;0.011364679;0.011364679;191.54
101;28/05/2014;1.26E-05;9.72E-06;1.24E-05;1.02E-05;1.17E-05;1.04E-05;1.12E-05;1.01E-05;0.024215949;0.014693136;0.021924848;0.021924848;191.35
102;29/05/2014;9.69E-06;6.88E-06;8.23E-06;5.97E-06;8.33E-06;6.24E-06;8.47E-06;8.67E-06;0.027028868;0.014407538;0.017359727;0.017359727;192.38
103;30/05/2014;9.27E-06;8.01E-06;8.24E-06;7.57E-06;8.36E-06;7.15E-06;9.62E-06;8.56E-06;0.018918839;0.014270928;0.014455396;0.014455396;192.65
104;02/06/2014;1.25E-05;1.71E-05;1.17E-05;1.89E-05;1.28E-05;1.93E-05;1.18E-05;1.73E-05;0.026218456;0.034995134;0.02865056;0.02865056;192.9
105;03/06/2014;9.07E-06;7.54E-06;9.09E-06;5.52E-06;9.53E-06;6.63E-06;1.01E-05;6.25E-06;0.020685394;0.013773743;0.022229832;0.022229832;192.81
106;04/06/2014;8.32E-06;8.95E-06;8.00E-06;7.11E-06;8.03E-06;6.85E-06;7.46E-06;5.99E-06;0.019298365;0.023882101;0.020409894;0.020409894;193.17
107;05/06/2014;1.78E-05;1.63E-05;1.67E-05;1.62E-05;1.56E-05;1.59E-05;1.57E-05;1.60E-05;0.041309027;0.026816742;0.035052079;0.035052079;194.45
108;06/06/2014;7.15E-06;7.00E-06;6.91E-06;5.77E-06;7.39E-06;5.20E-06;5.37E-06;5.56E-06;0.015366974;0.014207423;0.017545982;0.017545982;195.38
109;09/06/2014;9.24E-06;8.14E-06;8.21E-06;6.56E-06;7.68E-06;6.33E-06;8.61E-06;9.47E-06;0.019849854;0.016967198;0.015870785;0.015870785;195.58
110;10/06/2014;9.35E-06;9.93E-06;8.12E-06;1.05E-05;8.53E-06;1.10E-05;7.84E-06;1.08E-05;0.021720803;0.019858938;0.021103423;0.021103423;195.6
111;11/06/2014;1.37E-05;8.72E-06;1.37E-05;7.55E-06;1.23E-05;7.44E-06;1.07E-05;1.08E-05;0.027538513;0.015036225;0.022495824;0.022495824;194.94
112;12/06/2014;1.76E-05;1.88E-05;1.74E-05;1.70E-05;1.73E-05;1.84E-05;1.67E-05;1.37E-05;0.029445843;0.032591483;0.028170109;0.028170109;193.53
113;13/06/2014;1.57E-05;2.12E-05;1.52E-05;1.82E-05;1.51E-05;1.71E-05;1.75E-05;2.56E-05;0.029005847;0.042630767;0.029574301;0.029574301;194.14
114;16/06/2014;1.49E-05;1.87E-05;1.25E-05;1.27E-05;1.28E-05;1.23E-05;1.49E-05;1.82E-05;0.030047769;0.045904584;0.030359615;0.030359615;194.3
115;17/06/2014;1.55E-05;1.52E-05;1.47E-05;1.30E-05;1.41E-05;1.12E-05;1.23E-05;1.20E-05;0.035354771;0.030171116;0.031508129;0.031508129;194.82
116;18/06/2014;1.99E-05;1.65E-05;2.04E-05;1.48E-05;1.90E-05;1.63E-05;2.37E-05;1.66E-05;0.056644659;0.031324966;0.050532792;0.050532792;196.24
117;19/06/2014;1.05E-05;9.70E-06;1.02E-05;8.95E-06;1.00E-05;1.00E-05;1.03E-05;7.19E-06;0.019234128;0.016825172;0.019278604;0.019278604;196.49
118;20/06/2014;6.74E-06;4.70E-06;6.07E-06;5.19E-06;5.77E-06;5.00E-06;4.81E-06;4.72E-06;0.01567548;0.007285715;0.012523139;0.012523139;195.95
119;23/06/2014;1.00E-05;7.01E-06;8.87E-06;5.68E-06;9.60E-06;7.23E-06;9.82E-06;6.20E-06;0.021098195;0.01364355;0.022014087;0.022014087;195.89
120;24/06/2014;1.72E-05;1.78E-05;1.53E-05;1.92E-05;1.58E-05;1.77E-05;1.79E-05;2.60E-05;0.037137985;0.031729794;0.030813442;0.030813442;194.7
121;25/06/2014;1.94E-05;1.93E-05;1.82E-05;1.59E-05;1.66E-05;1.74E-05;1.68E-05;1.44E-05;0.038353981;0.0405635;0.032219641;0.032219641;195.56
122;26/06/2014;2.52E-05;2.49E-05;2.39E-05;1.93E-05;2.63E-05;2.31E-05;2.27E-05;3.29E-05;0.058469074;0.063869625;0.0665701;0.0665701;195.44
123;27/06/2014;1.24E-05;1.34E-05;1.10E-05;1.00E-05;1.02E-05;1.11E-05;1.00E-05;1.24E-05;0.025642233;0.027019069;0.021165705;0.021165705;195.8
124;30/06/2014;1.10E-05;6.49E-06;1.11E-05;6.06E-06;1.02E-05;5.50E-06;8.76E-06;7.71E-06;0.023037536;0.011962764;0.02114892;0.02114892;195.71
125;01/07/2014;1.30E-05;9.88E-06;1.15E-05;8.41E-06;1.11E-05;9.30E-06;1.18E-05;8.84E-06;0.031261416;0.016895203;0.023159533;0.023159533;197.06
126;02/07/2014;9.03E-06;7.65E-06;8.19E-06;6.52E-06;7.88E-06;6.67E-06;6.37E-06;4.45E-06;0.017823792;0.014033393;0.015497605;0.015497605;197.24
127;07/07/2014;1.12E-05;9.15E-06;9.41E-06;8.66E-06;9.40E-06;8.02E-06;9.31E-06;8.92E-06;0.027846034;0.016485372;0.019295546;0.019295546;197.54
128;08/07/2014;1.92E-05;2.62E-05;1.71E-05;2.50E-05;1.75E-05;2.55E-05;2.10E-05;1.57E-05;0.03640187;0.045120056;0.030906015;0.030906015;196.27
129;09/07/2014;1.98E-05;1.52E-05;1.88E-05;1.27E-05;1.84E-05;1.36E-05;1.64E-05;1.91E-05;0.041590765;0.034427553;0.037436557;0.037436557;197.13
130;10/07/2014;2.27E-05;2.28E-05;2.03E-05;1.82E-05;2.02E-05;1.89E-05;2.01E-05;1.91E-05;0.04834212;0.038958673;0.034924958;0.034924958;196.3325
131;11/07/2014;1.32E-05;1.31E-05;1.28E-05;1.29E-05;1.22E-05;1.16E-05;1.32E-05;1.33E-05;0.028132475;0.030574637;0.025211326;0.025211326;196.59
132;14/07/2014;7.24E-06;4.41E-06;7.04E-06;4.33E-06;6.62E-06;5.05E-06;4.77E-06;6.77E-07;0.016668162;0.006554186;0.016887515;0.016887515;197.59
133;15/07/2014;2.69E-05;2.90E-05;2.56E-05;2.77E-05;2.67E-05;2.74E-05;2.80E-05;3.04E-05;0.048418224;0.053264951;0.048554571;0.048554571;197.23
134;16/07/2014;1.08E-05;8.94E-06;1.00E-05;7.80E-06;9.99E-06;7.08E-06;9.24E-06;8.46E-06;0.024464019;0.018041094;0.021594587;0.021594587;197.97
135;17/07/2014;3.68E-05;3.80E-05;3.57E-05;3.45E-05;3.47E-05;3.66E-05;3.17E-05;3.65E-05;0.067801033;0.066110821;0.06056513;0.06056513;195.72
136;18/07/2014;1.37E-05;1.28E-05;1.26E-05;1.00E-05;1.22E-05;1.11E-05;1.20E-05;1.34E-05;0.028753666;0.022998517;0.023643536;0.023643536;197.72
137;21/07/2014;1.45E-05;1.11E-05;1.45E-05;1.14E-05;1.47E-05;1.17E-05;1.37E-05;1.47E-05;0.026735582;0.01804088;0.029227031;0.029227031;197.32
138;22/07/2014;1.01E-05;6.86E-06;9.53E-06;6.80E-06;8.75E-06;6.72E-06;7.24E-06;5.80E-06;0.023091369;0.013401258;0.01665302;0.01665302;198.19
139;23/07/2014;1.03E-05;7.59E-06;1.02E-05;7.08E-06;9.95E-06;7.99E-06;9.08E-06;6.72E-06;0.021759968;0.014452371;0.019149686;0.019149686;198.65
140;24/07/2014;1.18E-05;7.56E-06;1.15E-05;7.18E-06;1.13E-05;7.15E-06;7.55E-06;8.24E-06;0.029144861;0.012429058;0.025693125;0.025693125;198.65
141;25/07/2014;1.32E-05;1.48E-05;1.17E-05;1.48E-05;1.14E-05;1.30E-05;1.41E-05;1.13E-05;0.027404845;0.02698573;0.020086471;0.020086471;197.71
142;28/07/2014;2.03E-05;1.95E-05;1.84E-05;1.85E-05;1.72E-05;2.05E-05;1.98E-05;2.30E-05;0.044952713;0.039880751;0.034390021;0.034390021;197.79
143;29/07/2014;2.25E-05;2.41E-05;2.34E-05;2.35E-05;2.38E-05;2.18E-05;2.23E-05;2.41E-05;0.039729107;0.043113935;0.045906073;0.045906073;196.95
144;30/07/2014;4.40E-05;3.49E-05;3.98E-05;3.51E-05;3.56E-05;3.14E-05;3.79E-05;3.81E-05;0.130305488;0.057454285;0.068307241;0.068307241;196.99
145;31/07/2014;4.94E-05;4.95E-05;4.90E-05;5.64E-05;4.87E-05;5.96E-05;4.89E-05;4.64E-05;0.080957989;0.073448132;0.080939242;0.080939242;193.05
146;01/08/2014;5.97E-05;6.99E-05;6.01E-05;7.15E-05;5.60E-05;6.92E-05;6.55E-05;5.79E-05;0.112403625;0.114918202;0.093720572;0.093720572;192.49
147;04/08/2014;2.74E-05;2.61E-05;2.60E-05;2.04E-05;2.40E-05;2.34E-05;2.73E-05;2.90E-05;0.053017574;0.05089307;0.039165659;0.039165659;193.88
148;05/08/2014;7.48E-05;7.59E-05;7.62E-05;6.60E-05;6.83E-05;6.10E-05;6.92E-05;7.17E-05;0.2090992;0.193160935;0.12989892;0.12989892;191.98
149;06/08/2014;3.50E-05;4.21E-05;3.34E-05;3.86E-05;3.53E-05;3.94E-05;3.62E-05;4.11E-05;0.062423183;0.070249974;0.069553818;0.069553818;192.05
